class_id,class_name,before_cells,after_cells,retained_ratio,retained_percent
0,unlabeled,593004,0,0.0,0.0
1,car,1249944,546747,0.43741719629039383,43.74171962903938
2,bicycle,11157,11157,1.0,100.0
3,motorcycle,9303,9303,1.0,100.0
4,truck,51270,40674,0.7933294324166179,79.3329432416618
5,other-vehicle,53355,44697,0.837728422828226,83.77284228282261
6,person,9144,9144,1.0,100.0
7,bicyclist,4476,4476,1.0,100.0
8,motorcyclist,1827,1827,1.0,100.0
9,road,10556211,750000,0.07104821985843215,7.104821985843215
10,parking,864516,247119,0.2858466471412906,28.58466471412906
11,sidewalk,7933488,717096,0.09038848990507076,9.038848990507075
12,other-ground,238497,72291,0.3031107309525906,30.31107309525906
13,building,2384061,649560,0.27245947146486604,27.245947146486603
14,fence,1591260,609444,0.38299460804645374,38.29946080464538
15,vegetation,10609857,750000,0.07068898289581094,7.068898289581094
16,trunk,141816,140814,0.9929345066847183,99.29345066847183
17,terrain,5764293,610980,0.10599391807460169,10.599391807460169
18,pole,61455,61455,1.0,100.0
19,traffic-sign,21075,21075,1.0,100.0
