class_id,class_name,before_cells,after_cells,retained_ratio,retained_percent
0,unlabeled,593004,0,0.0,0.0
1,car,1249944,1249944,1.0,100.0
2,bicycle,11157,11157,1.0,100.0
3,motorcycle,9303,9303,1.0,100.0
4,truck,51270,51270,1.0,100.0
5,other-vehicle,53355,53355,1.0,100.0
6,person,9144,9144,1.0,100.0
7,bicyclist,4476,4476,1.0,100.0
8,motorcyclist,1827,1827,1.0,100.0
9,road,10556211,5982024,0.5666828751338904,56.66828751338904
10,parking,864516,855288,0.9893258193023611,98.93258193023611
11,sidewalk,7933488,5305647,0.6687659954864745,66.87659954864745
12,other-ground,238497,224934,0.9431313601428949,94.31313601428948
13,building,2384061,2382741,0.9994463228919058,99.94463228919058
14,fence,1591260,1572141,0.9879849930243958,98.79849930243958
15,vegetation,10609857,5676027,0.5349767673588814,53.49767673588814
16,trunk,141816,141816,1.0,100.0
17,terrain,5764293,3003015,0.5209684865082327,52.09684865082327
18,pole,61455,61455,1.0,100.0
19,traffic-sign,21075,21075,1.0,100.0
