class_id,class_name,before_cells,after_cells,retained_ratio,retained_percent
0,unlabeled,593004,0,0.0,0.0
1,car,1249944,1167777,0.9342634550027841,93.4263455002784
2,bicycle,11157,11157,1.0,100.0
3,motorcycle,9303,9303,1.0,100.0
4,truck,51270,51270,1.0,100.0
5,other-vehicle,53355,53355,1.0,100.0
6,person,9144,9144,1.0,100.0
7,bicyclist,4476,4476,1.0,100.0
8,motorcyclist,1827,1827,1.0,100.0
9,road,10556211,3000000,0.2841928794337286,28.41928794337286
10,parking,864516,666231,0.7706404508418583,77.06404508418584
11,sidewalk,7933488,2820858,0.3555634041420369,35.55634041420369
12,other-ground,238497,178593,0.7488270292708085,74.88270292708084
13,building,2384061,2022219,0.8482245211007604,84.82245211007604
14,fence,1591260,1419549,0.892091173032691,89.2091173032691
15,vegetation,10609857,2976321,0.28052413901525725,28.052413901525725
16,trunk,141816,141816,1.0,100.0
17,terrain,5764293,1933662,0.33545518938749297,33.5455189387493
18,pole,61455,61455,1.0,100.0
19,traffic-sign,21075,21075,1.0,100.0
