sequence	frame	bin_path	label_path
00	000039	SemanticKitti/sequences/00/velodyne/000039.bin	SemanticKitti/sequences/00/polar_512_prlb/000039.pt
00	000070	SemanticKitti/sequences/00/velodyne/000070.bin	SemanticKitti/sequences/00/polar_512_prlb/000070.pt
00	000189	SemanticKitti/sequences/00/velodyne/000189.bin	SemanticKitti/sequences/00/polar_512_prlb/000189.pt
00	000227	SemanticKitti/sequences/00/velodyne/000227.bin	SemanticKitti/sequences/00/polar_512_prlb/000227.pt
00	000362	SemanticKitti/sequences/00/velodyne/000362.bin	SemanticKitti/sequences/00/polar_512_prlb/000362.pt
00	000403	SemanticKitti/sequences/00/velodyne/000403.bin	SemanticKitti/sequences/00/polar_512_prlb/000403.pt
00	000495	SemanticKitti/sequences/00/velodyne/000495.bin	SemanticKitti/sequences/00/polar_512_prlb/000495.pt
00	000625	SemanticKitti/sequences/00/velodyne/000625.bin	SemanticKitti/sequences/00/polar_512_prlb/000625.pt
00	000626	SemanticKitti/sequences/00/velodyne/000626.bin	SemanticKitti/sequences/00/polar_512_prlb/000626.pt
00	000648	SemanticKitti/sequences/00/velodyne/000648.bin	SemanticKitti/sequences/00/polar_512_prlb/000648.pt
00	000649	SemanticKitti/sequences/00/velodyne/000649.bin	SemanticKitti/sequences/00/polar_512_prlb/000649.pt
00	000658	SemanticKitti/sequences/00/velodyne/000658.bin	SemanticKitti/sequences/00/polar_512_prlb/000658.pt
00	000708	SemanticKitti/sequences/00/velodyne/000708.bin	SemanticKitti/sequences/00/polar_512_prlb/000708.pt
00	000760	SemanticKitti/sequences/00/velodyne/000760.bin	SemanticKitti/sequences/00/polar_512_prlb/000760.pt
00	000792	SemanticKitti/sequences/00/velodyne/000792.bin	SemanticKitti/sequences/00/polar_512_prlb/000792.pt
00	000795	SemanticKitti/sequences/00/velodyne/000795.bin	SemanticKitti/sequences/00/polar_512_prlb/000795.pt
00	000798	SemanticKitti/sequences/00/velodyne/000798.bin	SemanticKitti/sequences/00/polar_512_prlb/000798.pt
00	000889	SemanticKitti/sequences/00/velodyne/000889.bin	SemanticKitti/sequences/00/polar_512_prlb/000889.pt
00	000899	SemanticKitti/sequences/00/velodyne/000899.bin	SemanticKitti/sequences/00/polar_512_prlb/000899.pt
00	000928	SemanticKitti/sequences/00/velodyne/000928.bin	SemanticKitti/sequences/00/polar_512_prlb/000928.pt
00	000958	SemanticKitti/sequences/00/velodyne/000958.bin	SemanticKitti/sequences/00/polar_512_prlb/000958.pt
00	000984	SemanticKitti/sequences/00/velodyne/000984.bin	SemanticKitti/sequences/00/polar_512_prlb/000984.pt
00	001048	SemanticKitti/sequences/00/velodyne/001048.bin	SemanticKitti/sequences/00/polar_512_prlb/001048.pt
00	001110	SemanticKitti/sequences/00/velodyne/001110.bin	SemanticKitti/sequences/00/polar_512_prlb/001110.pt
00	001123	SemanticKitti/sequences/00/velodyne/001123.bin	SemanticKitti/sequences/00/polar_512_prlb/001123.pt
00	001127	SemanticKitti/sequences/00/velodyne/001127.bin	SemanticKitti/sequences/00/polar_512_prlb/001127.pt
00	001225	SemanticKitti/sequences/00/velodyne/001225.bin	SemanticKitti/sequences/00/polar_512_prlb/001225.pt
00	001292	SemanticKitti/sequences/00/velodyne/001292.bin	SemanticKitti/sequences/00/polar_512_prlb/001292.pt
00	001308	SemanticKitti/sequences/00/velodyne/001308.bin	SemanticKitti/sequences/00/polar_512_prlb/001308.pt
00	001316	SemanticKitti/sequences/00/velodyne/001316.bin	SemanticKitti/sequences/00/polar_512_prlb/001316.pt
00	001329	SemanticKitti/sequences/00/velodyne/001329.bin	SemanticKitti/sequences/00/polar_512_prlb/001329.pt
00	001358	SemanticKitti/sequences/00/velodyne/001358.bin	SemanticKitti/sequences/00/polar_512_prlb/001358.pt
00	001367	SemanticKitti/sequences/00/velodyne/001367.bin	SemanticKitti/sequences/00/polar_512_prlb/001367.pt
00	001395	SemanticKitti/sequences/00/velodyne/001395.bin	SemanticKitti/sequences/00/polar_512_prlb/001395.pt
